id,stop_id,route_id,trip_id,headsign,scheduled_arrival,predicted_arrival,delay_seconds,recorded_at
301719,1_67652,40_100239,40_597756310,Seattle,1776874080000,1776874078000,-2,2026-04-22T16:07:23.704058
301718,1_67652,40_100239,40_597754090,Seattle,1776873480000,1776873758000,278,2026-04-22T16:07:23.704058
301720,1_67652,40_100239,40_597750730,Seattle,1776874680000,1776874680000,0,2026-04-22T16:07:23.704058
301723,1_67652,40_100239,40_597752630,Seattle,1776877380000,1776877380000,0,2026-04-22T16:07:23.704058
301721,1_67652,40_100239,40_597754900,Seattle,1776875580000,1776875580000,0,2026-04-22T16:07:23.704058
301724,1_67652,40_100239,40_597752630,Seattle,1776877380000,1776877380000,0,2026-04-22T16:07:23.704058
301722,1_67652,40_100239,40_597756250,Seattle,1776876480000,1776876480000,0,2026-04-22T16:07:23.704058
301725,1_68007,40_100239,40_597754890,Bellevue,1776874200000,1776874250000,50,2026-04-22T16:07:23.887750
301726,1_68007,40_100239,40_597756260,Bellevue,1776875100000,1776874801000,-299,2026-04-22T16:07:23.887750
301727,1_68007,40_100239,40_597752610,Bellevue,1776876000000,1776876000000,0,2026-04-22T16:07:23.887750
301728,1_68007,40_100239,40_597752610,Bellevue,1776876000000,1776876000000,0,2026-04-22T16:07:23.887750
301729,1_68007,40_100239,40_597752120,Bellevue,1776876900000,1776876900000,0,2026-04-22T16:07:23.887750
301730,1_68007,40_100239,40_597752120,Bellevue,1776876900000,1776876900000,0,2026-04-22T16:07:23.887750
301743,1_72984,1_102552,1_833608300,Bellevue Transit Center Bellevue Redmond Road,1776876540000,1776876540000,0,2026-04-22T16:07:24.023051
301744,1_72984,1_100136,1_705514270,Kirkland Transit Center Crossroads,1776876600000,1776876600000,0,2026-04-22T16:07:24.023051
301745,1_72984,1_100162,1_720967830,University District Bellevue,1776876840000,1776876840000,0,2026-04-22T16:07:24.023051
301746,1_72984,1_102752,1_816297540,Downtown Redmond Station Overlake Village Station,1776877380000,1776877380000,0,2026-04-22T16:07:24.023051
301747,1_72984,1_100136,1_761786950,Kirkland Transit Center Crossroads,1776877500000,1776877500000,0,2026-04-22T16:07:24.023051
301731,1_72984,1_102752,1_816297510,Downtown Redmond Station Overlake Village Station,1776873780000,1776873972000,192,2026-04-22T16:07:24.023051
301732,1_72984,1_100136,1_761787360,Kirkland Transit Center Crossroads,1776873900000,1776873979000,79,2026-04-22T16:07:24.023051
301733,1_72984,1_100162,1_720966410,University District Bellevue,1776874500000,1776874500000,0,2026-04-22T16:07:24.023051
301734,1_72984,1_102552,1_833608290,Bellevue Transit Center Bellevue Redmond Road,1776874680000,1776874771000,91,2026-04-22T16:07:24.023051
301735,1_72984,1_100136,1_761787940,Kirkland Transit Center Crossroads,1776874800000,1776874800000,0,2026-04-22T16:07:24.023051
301736,1_72984,1_102752,1_816297520,Downtown Redmond Station Overlake Village Station,1776874980000,1776874980000,0,2026-04-22T16:07:24.023051
301737,1_72984,1_100162,1_721030400,University District Bellevue,1776875640000,1776875640000,0,2026-04-22T16:07:24.023051
301738,1_72984,1_100136,1_761787590,Kirkland Transit Center Crossroads,1776875700000,1776875700000,0,2026-04-22T16:07:24.023051
301739,1_72984,1_100136,1_761787590,Kirkland Transit Center Crossroads,1776875700000,1776875700000,0,2026-04-22T16:07:24.023051
301740,1_72984,1_100162,1_721030400,University District Bellevue,1776875640000,1776875738000,98,2026-04-22T16:07:24.023051
301741,1_72984,1_102752,1_816297530,Downtown Redmond Station Overlake Village Station,1776876180000,1776876180000,0,2026-04-22T16:07:24.023051
301742,1_72984,1_102752,1_816297530,Downtown Redmond Station Overlake Village Station,1776876180000,1776876180000,0,2026-04-22T16:07:24.023051
301748,1_72983,1_102752,1_833610640,Eastgate P&R,1776873780000,1776873514000,-266,2026-04-22T16:07:25.183681
301749,1_72983,1_102752,1_833610640,Eastgate P&R,1776873780000,1776873780000,0,2026-04-22T16:07:25.183681
301750,1_72983,1_102552,1_816295960,South Bellevue Station Eastgate,1776874080000,1776874216000,136,2026-04-22T16:07:25.183681
301751,1_72983,1_100136,1_761786920,Eastgate P&R,1776874440000,1776874493000,53,2026-04-22T16:07:25.183681
301752,1_72983,1_100162,1_585519140,Issaquah Transit Center,1776874320000,1776874754000,434,2026-04-22T16:07:25.183681
301753,1_72983,1_102752,1_833610650,Eastgate P&R,1776875040000,1776875040000,0,2026-04-22T16:07:25.183681
301754,1_72983,1_100162,1_569495660,Eastgate,1776875160000,1776875160000,0,2026-04-22T16:07:25.183681
301755,1_72983,1_100136,1_761787750,Eastgate P&R,1776875340000,1776875386000,46,2026-04-22T16:07:25.183681
301756,1_72983,1_102552,1_816295970,South Bellevue Station Eastgate,1776875280000,1776875481000,201,2026-04-22T16:07:25.183681
301757,1_72983,1_100162,1_671213680,Eastgate,1776875880000,1776876260000,380,2026-04-22T16:07:25.183681
301758,1_72983,1_100136,1_761787270,Eastgate P&R,1776876240000,1776876343000,103,2026-04-22T16:07:25.183681
301759,1_72983,1_102552,1_816295980,South Bellevue Station Eastgate,1776876480000,1776876484000,4,2026-04-22T16:07:25.183681
301760,1_72983,1_102752,1_833610660,Eastgate P&R,1776876240000,1776876501000,261,2026-04-22T16:07:25.183681
301761,1_72983,1_100162,1_569553850,Issaquah Transit Center,1776876660000,1776876660000,0,2026-04-22T16:07:25.183681
301762,1_72983,1_100136,1_761789580,Eastgate P&R,1776877080000,1776877080000,0,2026-04-22T16:07:25.183681
301763,1_72983,1_102752,1_833610670,Eastgate P&R,1776877380000,1776877380000,0,2026-04-22T16:07:25.183681
301764,1_72983,1_102752,1_833610670,Eastgate P&R,1776877380000,1776877380000,0,2026-04-22T16:07:25.183681
301765,1_72983,1_100162,1_569495530,Eastgate P&R,1776877560000,1776877560000,0,2026-04-22T16:07:25.183681
301766,1_67652,40_100239,40_597756310,Seattle,1776874080000,1776874118000,38,2026-04-22T16:08:24.482322
301767,1_67652,40_100239,40_597750730,Seattle,1776874680000,1776874680000,0,2026-04-22T16:08:24.482322
301768,1_67652,40_100239,40_597754900,Seattle,1776875580000,1776875580000,0,2026-04-22T16:08:24.482322
301769,1_67652,40_100239,40_597756250,Seattle,1776876480000,1776876480000,0,2026-04-22T16:08:24.482322
301770,1_67652,40_100239,40_597752630,Seattle,1776877380000,1776877380000,0,2026-04-22T16:08:24.482322
301771,1_67652,40_100239,40_597752630,Seattle,1776877380000,1776877380000,0,2026-04-22T16:08:24.482322
301772,1_68007,40_100239,40_597754890,Bellevue,1776874200000,1776874186000,-14,2026-04-22T16:08:24.570212
301773,1_68007,40_100239,40_597756260,Bellevue,1776875100000,1776874785000,-315,2026-04-22T16:08:24.570212
301774,1_68007,40_100239,40_597752610,Bellevue,1776876000000,1776876000000,0,2026-04-22T16:08:24.570212
301775,1_68007,40_100239,40_597752610,Bellevue,1776876000000,1776876000000,0,2026-04-22T16:08:24.570212
301776,1_68007,40_100239,40_597752120,Bellevue,1776876900000,1776876900000,0,2026-04-22T16:08:24.570212
301777,1_68007,40_100239,40_597752120,Bellevue,1776876900000,1776876900000,0,2026-04-22T16:08:24.570212
301778,1_72984,1_102752,1_816297510,Downtown Redmond Station Overlake Village Station,1776873780000,1776873982000,202,2026-04-22T16:08:24.691221
301779,1_72984,1_100136,1_761787360,Kirkland Transit Center Crossroads,1776873900000,1776874001000,101,2026-04-22T16:08:24.691221
301780,1_72984,1_100162,1_720966410,University District Bellevue,1776874500000,1776874500000,0,2026-04-22T16:08:24.691221
301781,1_72984,1_102552,1_833608290,Bellevue Transit Center Bellevue Redmond Road,1776874680000,1776874727000,47,2026-04-22T16:08:24.691221
301782,1_72984,1_100136,1_761787940,Kirkland Transit Center Crossroads,1776874800000,1776874800000,0,2026-04-22T16:08:24.691221
301783,1_72984,1_102752,1_816297520,Downtown Redmond Station Overlake Village Station,1776874980000,1776874980000,0,2026-04-22T16:08:24.691221
301784,1_72984,1_100162,1_721030400,University District Bellevue,1776875640000,1776875640000,0,2026-04-22T16:08:24.691221
301785,1_72984,1_100136,1_761787590,Kirkland Transit Center Crossroads,1776875700000,1776875700000,0,2026-04-22T16:08:24.691221
301786,1_72984,1_100136,1_761787590,Kirkland Transit Center Crossroads,1776875700000,1776875700000,0,2026-04-22T16:08:24.691221
301787,1_72984,1_100162,1_721030400,University District Bellevue,1776875640000,1776875727000,87,2026-04-22T16:08:24.691221
301788,1_72984,1_102752,1_816297530,Downtown Redmond Station Overlake Village Station,1776876180000,1776876180000,0,2026-04-22T16:08:24.691221
301789,1_72984,1_102752,1_816297530,Downtown Redmond Station Overlake Village Station,1776876180000,1776876180000,0,2026-04-22T16:08:24.691221
301790,1_72984,1_102552,1_833608300,Bellevue Transit Center Bellevue Redmond Road,1776876540000,1776876540000,0,2026-04-22T16:08:24.691221
301791,1_72984,1_100136,1_705514270,Kirkland Transit Center Crossroads,1776876600000,1776876600000,0,2026-04-22T16:08:24.691221
301792,1_72984,1_100162,1_720967830,University District Bellevue,1776876840000,1776876840000,0,2026-04-22T16:08:24.691221
301793,1_72984,1_102752,1_816297540,Downtown Redmond Station Overlake Village Station,1776877380000,1776877380000,0,2026-04-22T16:08:24.691221
301794,1_72984,1_100136,1_761786950,Kirkland Transit Center Crossroads,1776877500000,1776877500000,0,2026-04-22T16:08:24.691221
301795,1_72983,1_102552,1_816295960,South Bellevue Station Eastgate,1776874080000,1776874200000,120,2026-04-22T16:08:24.803809
301796,1_72983,1_100136,1_761786920,Eastgate P&R,1776874440000,1776874486000,46,2026-04-22T16:08:24.803809
301797,1_72983,1_100162,1_585519140,Issaquah Transit Center,1776874320000,1776874742000,422,2026-04-22T16:08:24.803809
301798,1_72983,1_102752,1_833610650,Eastgate P&R,1776875040000,1776875040000,0,2026-04-22T16:08:24.803809
301803,1_72983,1_100136,1_761787270,Eastgate P&R,1776876240000,1776876368000,128,2026-04-22T16:08:24.803809
301804,1_72983,1_102552,1_816295980,South Bellevue Station Eastgate,1776876480000,1776876480000,0,2026-04-22T16:08:24.803809
301801,1_72983,1_102552,1_816295970,South Bellevue Station Eastgate,1776875280000,1776875478000,198,2026-04-22T16:08:24.803809
301802,1_72983,1_100162,1_671213680,Eastgate,1776875880000,1776876309000,429,2026-04-22T16:08:24.803809
301799,1_72983,1_100162,1_569495660,Eastgate,1776875160000,1776875160000,0,2026-04-22T16:08:24.803809
301805,1_72983,1_102752,1_833610660,Eastgate P&R,1776876240000,1776876531000,291,2026-04-22T16:08:24.803809
301806,1_72983,1_100162,1_569553850,Issaquah Transit Center,1776876660000,1776876660000,0,2026-04-22T16:08:24.803809
301800,1_72983,1_100136,1_761787750,Eastgate P&R,1776875340000,1776875341000,1,2026-04-22T16:08:24.803809
301807,1_72983,1_100136,1_761789580,Eastgate P&R,1776877080000,1776877080000,0,2026-04-22T16:08:24.803809
301808,1_72983,1_102752,1_833610670,Eastgate P&R,1776877380000,1776877380000,0,2026-04-22T16:08:24.803809
301809,1_72983,1_102752,1_833610670,Eastgate P&R,1776877380000,1776877380000,0,2026-04-22T16:08:24.803809
301810,1_72983,1_100162,1_569495530,Eastgate P&R,1776877560000,1776877560000,0,2026-04-22T16:08:24.803809
301811,1_67652,40_100239,40_597756310,Seattle,1776874080000,1776874120000,40,2026-04-22T16:09:23.294831
